checkpoint,task,frame,family_id,entities,values,full_complete,full_item_correct,full_ties,full_reversal_both_correct,full_reversal_fraction,full_mean_margin,full_minimum_margin,full_fact_order0_complete,full_fact_order1_complete,word_only_complete,word_only_item_correct,word_only_ties,word_only_reversal_both_correct,word_only_reversal_fraction,word_only_mean_margin,word_only_minimum_margin,word_only_fact_order0_complete,word_only_fact_order1_complete
graduate,location,core,location:f000,Ben|Sam,bed|room,False,4,0,0,0.0,-1.2051035830573653e-05,-0.5102884616153318,False,False,False,4,0,0,0.0,-1.8857362669377764e-05,-0.05736334080015304,False,False
graduate,location,core,location:f001,Ben|Sam,cave|yard,False,4,0,0,0.0,3.976152771656416e-05,-0.4744434762001468,False,False,False,4,0,0,0.0,4.1707268366719674e-05,-0.664754177801095,False,False
graduate,location,core,location:f002,Ben|Sam,shop|yard,False,4,0,0,0.0,3.401735715868881e-05,-0.625620062078422,False,False,False,4,0,0,0.0,3.559903462013736e-05,-0.49163005544903626,False,False
graduate,location,core,location:f003,Ben|Tim,cave|yard,False,4,0,0,0.0,6.813731294297298e-06,-0.47073914105314074,False,False,False,4,0,0,0.0,-2.062918630563182e-05,-0.6645184658893939,False,False
graduate,location,core,location:f004,Ben|Tim,shop|yard,False,4,0,0,0.0,3.850530732529833e-05,-0.6267507085882578,False,False,False,4,0,0,0.0,-1.5634061852010106e-05,-0.4904833430179725,False,False
graduate,location,core,location:f005,Ben|Tom,cave|shop,False,4,0,0,0.0,-9.0945618254068e-06,-0.15658558635832875,False,False,False,4,0,0,0.0,-2.0085052832463646e-05,-0.19260046808501308,False,False
graduate,location,core,location:f006,Ben|Tom,shop|yard,False,4,0,0,0.0,3.987169847174954e-06,-0.6290114780037115,False,False,False,4,0,0,0.0,-9.847084338820977e-06,-0.48870461565010714,False,False
graduate,location,core,location:f007,Sam|Tim,cave|shop,False,4,0,0,0.0,-5.1376259427193816e-05,-0.16797452361777943,False,False,False,4,0,0,0.0,-0.00011465473955740713,-0.20229585105793646,False,False
graduate,location,core,location:f008,Sam|Tim,cave|yard,False,4,0,0,0.0,-0.0001033389194082801,-0.4750054578125287,False,False,False,4,0,0,0.0,-0.00010469898343745676,-0.6602168089254477,False,False
graduate,location,core,location:f009,Sam|Tim,shop|yard,False,4,0,0,0.0,9.502969237740189e-06,-0.6129043752075525,False,False,False,4,0,0,0.0,-1.8183355894985098e-05,-0.4762576454697367,False,False
graduate,location,core,location:f010,Sam|Tom,bed|room,False,4,0,0,0.0,1.5290215708674282e-05,-0.5184857216669592,False,False,False,4,0,0,0.0,-1.6104410406558856e-05,-0.0539514217361976,False,False
graduate,location,core,location:f011,Sam|Tom,cave|shop,False,4,0,0,0.0,4.04811919985093e-06,-0.15778967245154618,False,False,False,4,0,0,0.0,-6.290593181601523e-05,-0.2036918237163654,False,False
graduate,location,core,location:f012,Sam|Tom,cave|yard,False,4,0,0,0.0,0.0001638670496646455,-0.46834365337557315,False,False,False,4,0,0,0.0,9.634570711947177e-05,-0.6572150464765016,False,False
graduate,location,core,location:f013,Tim|Tom,bed|room,False,4,0,0,0.0,1.2305178088478641e-05,-0.5435882820171472,False,False,False,4,0,0,0.0,1.0011854006064524e-05,-0.029372351668499164,False,False
graduate,location,core,location:f014,Tim|Tom,cave|yard,False,4,0,0,0.0,-2.327796929835202e-05,-0.47112845423553296,False,False,False,4,0,0,0.0,-2.050425029032077e-05,-0.6565760700476879,False,False
